AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR
0-19|~|~|~|Benign/Borderline|~|39865121|Female|All other|2004
0-19|~|~|~|Malignant|~|39865121|Female|All other|2004
0-19|~|~|~|Benign/Borderline|~|39998876|Female|All other|2005
0-19|~|~|~|Malignant|~|39998876|Female|All other|2005
0-19|~|~|~|Benign/Borderline|~|40165421|Female|All other|2006
0-19|~|~|~|Malignant|~|40165421|Female|All other|2006
0-19|~|~|~|Benign/Borderline|~|40382360|Female|All other|2007
0-19|~|~|~|Malignant|~|40382360|Female|All other|2007
0-19|~|~|~|Benign/Borderline|~|40576293|Female|All other|2008
0-19|~|~|~|Malignant|~|40576293|Female|All other|2008
0-19|~|~|~|Benign/Borderline|~|40670476|Female|All other|2009
0-19|~|~|~|Malignant|~|40670476|Female|All other|2009
0-19|~|~|~|Benign/Borderline|~|40652091|Female|All other|2010
0-19|~|~|~|Malignant|~|40652091|Female|All other|2010
0-19|~|~|~|Benign/Borderline|~|40556179|Female|All other|2011
0-19|~|~|~|Malignant|~|40556179|Female|All other|2011
0-19|~|~|~|Benign/Borderline|~|40478537|Female|All other|2012
0-19|~|~|~|Malignant|~|40478537|Female|All other|2012
0-19|~|~|~|Benign/Borderline|~|40458251|Female|All other|2013
0-19|~|~|~|Malignant|~|40458251|Female|All other|2013
0-19|~|~|~|Benign/Borderline|~|40476449|Female|All other|2014
0-19|~|~|~|Malignant|~|40476449|Female|All other|2014
0-19|~|~|~|Benign/Borderline|~|40548779|Female|All other|2015
0-19|~|~|~|Malignant|~|40548779|Female|All other|2015
0-19|~|~|~|Benign/Borderline|~|40650115|Female|All other|2016
0-19|~|~|~|Malignant|~|40650115|Female|All other|2016
0-19|~|~|~|Benign/Borderline|~|40703047|Female|All other|2017
0-19|~|~|~|Malignant|~|40703047|Female|All other|2017
0-19|0.0|0.1|0.1|Benign/Borderline|23|40705737|Female|All other|2018
0-19|0.3|0.4|0.3|Malignant|126|40705737|Female|All other|2018
0-19|0.1|0.1|0.1|Benign/Borderline|156|201996736|Female|All other|2018-2022
0-19|0.4|0.4|0.4|Malignant|826|201996736|Female|All other|2018-2022
0-19|0.1|0.1|0.1|Benign/Borderline|37|40650648|Female|All other|2019
0-19|0.3|0.5|0.4|Malignant|165|40650648|Female|All other|2019
0-19|0.1|0.1|0.1|Benign/Borderline|33|40481966|Female|All other|2020
0-19|0.3|0.5|0.4|Malignant|156|40481966|Female|All other|2020
0-19|0.1|0.1|0.1|Benign/Borderline|32|40152307|Female|All other|2021
0-19|0.4|0.5|0.4|Malignant|164|40152307|Female|All other|2021
0-19|0.1|0.1|0.1|Benign/Borderline|31|40006078|Female|All other|2022
0-19|0.5|0.6|0.5|Malignant|215|40006078|Female|All other|2022
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic astrocytoma|2004
0-19|0.1|0.2|0.1|Malignant|46|39865121|Female|Anaplastic astrocytoma|2004
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic astrocytoma|2005
0-19|0.0|0.1|0.1|Malignant|25|39998876|Female|Anaplastic astrocytoma|2005
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic astrocytoma|2006
0-19|0.1|0.1|0.1|Malignant|31|40165421|Female|Anaplastic astrocytoma|2006
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic astrocytoma|2007
0-19|0.1|0.1|0.1|Malignant|32|40382360|Female|Anaplastic astrocytoma|2007
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic astrocytoma|2008
0-19|0.1|0.1|0.1|Malignant|32|40576293|Female|Anaplastic astrocytoma|2008
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic astrocytoma|2009
0-19|0.1|0.1|0.1|Malignant|30|40670476|Female|Anaplastic astrocytoma|2009
0-19|~|~|~|Benign/Borderline|~|40652091|Female|Anaplastic astrocytoma|2010
0-19|0.1|0.1|0.1|Malignant|40|40652091|Female|Anaplastic astrocytoma|2010
0-19|~|~|~|Benign/Borderline|~|40556179|Female|Anaplastic astrocytoma|2011
0-19|0.1|0.1|0.1|Malignant|39|40556179|Female|Anaplastic astrocytoma|2011
0-19|~|~|~|Benign/Borderline|~|40478537|Female|Anaplastic astrocytoma|2012
0-19|0.0|0.1|0.1|Malignant|24|40478537|Female|Anaplastic astrocytoma|2012
0-19|~|~|~|Benign/Borderline|~|40458251|Female|Anaplastic astrocytoma|2013
0-19|0.1|0.2|0.1|Malignant|51|40458251|Female|Anaplastic astrocytoma|2013
0-19|~|~|~|Benign/Borderline|~|40476449|Female|Anaplastic astrocytoma|2014
0-19|0.1|0.1|0.1|Malignant|40|40476449|Female|Anaplastic astrocytoma|2014
0-19|~|~|~|Benign/Borderline|~|40548779|Female|Anaplastic astrocytoma|2015
0-19|0.1|0.1|0.1|Malignant|35|40548779|Female|Anaplastic astrocytoma|2015
0-19|~|~|~|Benign/Borderline|~|40650115|Female|Anaplastic astrocytoma|2016
0-19|0.1|0.1|0.1|Malignant|31|40650115|Female|Anaplastic astrocytoma|2016
0-19|~|~|~|Benign/Borderline|~|40703047|Female|Anaplastic astrocytoma|2017
0-19|0.0|0.1|0.1|Malignant|27|40703047|Female|Anaplastic astrocytoma|2017
0-19|~|~|~|Benign/Borderline|~|40705737|Female|Anaplastic astrocytoma|2018
0-19|0.0|0.1|0.1|Malignant|24|40705737|Female|Anaplastic astrocytoma|2018
0-19|~|~|~|Benign/Borderline|~|201996736|Female|Anaplastic astrocytoma|2018-2022
0-19|0.0|0.1|0.0|Malignant|92|201996736|Female|Anaplastic astrocytoma|2018-2022
0-19|~|~|~|Benign/Borderline|~|40650648|Female|Anaplastic astrocytoma|2019
0-19|0.0|0.1|0.1|Malignant|29|40650648|Female|Anaplastic astrocytoma|2019
0-19|~|~|~|Benign/Borderline|~|40481966|Female|Anaplastic astrocytoma|2020
0-19|0.0|0.1|0.1|Malignant|22|40481966|Female|Anaplastic astrocytoma|2020
0-19|~|~|~|Benign/Borderline|~|40152307|Female|Anaplastic astrocytoma|2021
0-19|~|~|~|Malignant|~|40152307|Female|Anaplastic astrocytoma|2021
0-19|~|~|~|Benign/Borderline|~|40006078|Female|Anaplastic astrocytoma|2022
0-19|~|~|~|Malignant|~|40006078|Female|Anaplastic astrocytoma|2022
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic oligodendroglioma|2004
0-19|~|~|~|Malignant|~|39865121|Female|Anaplastic oligodendroglioma|2004
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic oligodendroglioma|2005
0-19|~|~|~|Malignant|~|39998876|Female|Anaplastic oligodendroglioma|2005
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic oligodendroglioma|2006
0-19|~|~|~|Malignant|~|40165421|Female|Anaplastic oligodendroglioma|2006
