AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|0.3|0.4|0.3|194|Mortality|59955368|Acute Lymphocytic|1999
0-14|3.4|3.7|3.5|2075|Incidence|59151007|Acute Lymphocytic|1999
0-14|0.2|0.3|0.2|141|Mortality|59955368|Acute Myeloid|1999
0-14|0.6|0.7|0.7|398|Incidence|59151007|Acute Myeloid|1999
0-14|2.4|2.6|2.5|1498|Mortality|59955368|All Cancer Sites Combined|1999
0-14|14.2|14.8|14.5|8574|Incidence|59151007|All Cancer Sites Combined|1999
0-14|0.1|0.2|0.1|82|Mortality|59955368|Bones and Joints|1999
0-14|0.7|0.8|0.7|433|Incidence|59151007|Bones and Joints|1999
0-14|0.7|0.8|0.7|431|Mortality|59955368|Brain and Other Nervous System|1999
0-14|3.1|3.4|3.3|1931|Incidence|59151007|Brain and Other Nervous System|1999
0-14|~|~|~|~|Mortality|59955368|Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.5|324|Incidence|59151007|Hodgkin Lymphoma|1999
0-14|0.1|0.1|0.1|54|Mortality|59955368|Kidney and Renal Pelvis|1999
0-14|0.8|0.9|0.8|494|Incidence|59151007|Kidney and Renal Pelvis|1999
0-14|0.7|0.8|0.8|451|Mortality|59955368|Leukemia|1999
0-14|4.3|4.7|4.5|2658|Incidence|59151007|Leukemia|1999
0-14|0.1|0.1|0.1|55|Mortality|59955368|Non-Hodgkin Lymphoma|1999
0-14|0.8|1.0|0.9|526|Incidence|59151007|Non-Hodgkin Lymphoma|1999
0-14|0.5|0.6|0.5|328|Mortality|59955368|Other|1999
0-14|2.8|3.1|2.9|1714|Incidence|59151007|Other|1999
0-14|0.1|0.2|0.1|87|Mortality|59955368|Soft Tissue|1999
0-14|0.8|0.9|0.8|494|Incidence|59151007|Soft Tissue|1999
0-19|0.3|0.4|0.4|285|Mortality|80039970|Acute Lymphocytic|1999
0-19|2.8|3.1|3.0|2340|Incidence|78936986|Acute Lymphocytic|1999
0-19|0.2|0.3|0.3|207|Mortality|80039970|Acute Myeloid|1999
0-19|0.7|0.8|0.7|569|Incidence|78936986|Acute Myeloid|1999
0-19|2.7|2.9|2.8|2243|Mortality|80039970|All Cancer Sites Combined|1999
0-19|15.5|16.1|15.8|12459|Incidence|78936986|All Cancer Sites Combined|1999
0-19|0.2|0.3|0.3|209|Mortality|80039970|Bones and Joints|1999
0-19|0.8|1.0|0.9|707|Incidence|78936986|Bones and Joints|1999
0-19|0.6|0.7|0.7|546|Mortality|80039970|Brain and Other Nervous System|1999
0-19|2.8|3.1|3.0|2331|Incidence|78936986|Brain and Other Nervous System|1999
0-19|0.0|0.1|0.1|41|Mortality|80039970|Hodgkin Lymphoma|1999
0-19|1.1|1.3|1.2|934|Incidence|78936986|Hodgkin Lymphoma|1999
0-19|0.1|0.1|0.1|62|Mortality|80039970|Kidney and Renal Pelvis|1999
0-19|0.6|0.7|0.7|523|Incidence|78936986|Kidney and Renal Pelvis|1999
0-19|0.8|0.9|0.8|672|Mortality|80039970|Leukemia|1999
0-19|3.9|4.2|4.0|3184|Incidence|78936986|Leukemia|1999
0-19|0.1|0.2|0.1|106|Mortality|80039970|Non-Hodgkin Lymphoma|1999
0-19|1.0|1.1|1.1|834|Incidence|78936986|Non-Hodgkin Lymphoma|1999
0-19|0.5|0.6|0.6|455|Mortality|80039970|Other|1999
0-19|4.0|4.3|4.1|3255|Incidence|78936986|Other|1999
0-19|0.2|0.2|0.2|152|Mortality|80039970|Soft Tissue|1999
0-19|0.8|0.9|0.9|691|Incidence|78936986|Soft Tissue|1999
0-14|0.3|0.4|0.4|234|Mortality|60279841|Acute Lymphocytic|2000
0-14|3.5|3.8|3.7|2163|Incidence|59476204|Acute Lymphocytic|2000
0-14|0.2|0.3|0.2|145|Mortality|60279841|Acute Myeloid|2000
0-14|0.5|0.7|0.6|352|Incidence|59476204|Acute Myeloid|2000
0-14|2.4|2.7|2.5|1526|Mortality|60279841|All Cancer Sites Combined|2000
0-14|14.6|15.2|14.9|8843|Incidence|59476204|All Cancer Sites Combined|2000
0-14|0.1|0.2|0.1|83|Mortality|60279841|Bones and Joints|2000
0-14|0.6|0.7|0.7|401|Incidence|59476204|Bones and Joints|2000
0-14|0.7|0.8|0.7|440|Mortality|60279841|Brain and Other Nervous System|2000
0-14|3.2|3.5|3.4|2003|Incidence|59476204|Brain and Other Nervous System|2000
