AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR
142.2|148.4|145.3|8574|All ICCC Groups Combined|59151007|0-14|All Races|Male and Female|1999
43.4|46.8|45.1|2664|I LEUKEMIAS, MYELOPROLIFERATIVE AND MYELODYSPLASTIC DISEASES|59151007|0-14|All Races|Male and Female|1999
14.4|16.4|15.4|907|II LYMPHOMAS AND RETICULOENDOTHELIAL NEOPLASMS|59151007|0-14|All Races|Male and Female|1999
30.2|33.1|31.6|1871|III CNS AND MISCELLANEOUS INTRACRANIAL AND INTRASPINAL NEOPLASMS|59151007|0-14|All Races|Male and Female|1999
2.6|3.5|3.0|177|IIIa Ependymomas and choroid plexus tumor|59151007|0-14|All Races|Male and Female|1999
13.4|15.4|14.4|850|IIIb Astrocytomas|59151007|0-14|All Races|Male and Female|1999
7.1|8.6|7.8|464|IIIc Intracranial and intraspinal embryonal tumors|59151007|0-14|All Races|Male and Female|1999
4.7|5.8|5.2|310|IIId Other gliomas|59151007|0-14|All Races|Male and Female|1999
0.3|0.7|0.5|30|IIIe Other specified intracranial and intraspinal neoplasms|59151007|0-14|All Races|Male and Female|1999
0.5|0.9|0.7|40|IIIf Unspecified intracranial and intraspinal neoplasms|59151007|0-14|All Races|Male and Female|1999
4.9|6.1|5.5|324|IIa Hodgkin lymphomas|59151007|0-14|All Races|Male and Female|1999
5.4|6.6|6.0|353|IIb Non-Hodgkin lymphomas (except Burkitt lymphoma)|59151007|0-14|All Races|Male and Female|1999
2.1|2.9|2.5|149|IIc Burkitt lymphoma|59151007|0-14|All Races|Male and Female|1999
0.7|1.2|0.9|54|IId Miscellaneous lymphoreticular neoplasms|59151007|0-14|All Races|Male and Female|1999
0.3|0.7|0.5|27|IIe Unspecified lymphomas|59151007|0-14|All Races|Male and Female|1999
9.8|11.5|10.7|626|IV NEUROBLASTOMA AND OTHER PERIPHERAL NERVOUS CELL TUMORS|59151007|0-14|All Races|Male and Female|1999
9.7|11.4|10.5|616|IVa Neuroblastoma and ganglioneuroblastoma|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|IVb Other peripheral nervous cell tumors|59151007|0-14|All Races|Male and Female|1999
8.6|10.2|9.4|555|IX SOFT TISSUE AND OTHER EXTRAOSSEOUS SARCOMAS|59151007|0-14|All Races|Male and Female|1999
4.2|5.4|4.8|283|IXa Rhabdomyosarcomas|59151007|0-14|All Races|Male and Female|1999
0.7|1.2|0.9|55|IXb Fibrosarcomas, peripheral nerve sheath tumors and oth fibrous neoplasms|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|IXc Kaposi sarcoma|59151007|0-14|All Races|Male and Female|1999
2.3|3.2|2.7|161|IXd Other specified soft tissue sarcomas|59151007|0-14|All Races|Male and Female|1999
0.7|1.2|0.9|55|IXe Unspecified soft tissue sarcomas|59151007|0-14|All Races|Male and Female|1999
33.9|37.0|35.4|2095|Ia Lymphoid leukemias|59151007|0-14|All Races|Male and Female|1999
6.9|8.4|7.6|449|Ib Acute myeloid leukemias|59151007|0-14|All Races|Male and Female|1999
0.4|0.9|0.6|37|Ic Chronic myeloproliferative diseases|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|Id Myelodysplastic syndrome and other myeloproliferative diseases|59151007|0-14|All Races|Male and Female|1999
1.0|1.6|1.2|73|Ie Unspecified and other specified leukemias|59151007|0-14|All Races|Male and Female|1999
0.2|0.5|0.3|19|Not classified by ICCC|59151007|0-14|All Races|Male and Female|1999
3.7|4.8|4.2|246|V RETINOBLASTOMA|59151007|0-14|All Races|Male and Female|1999
7.3|8.8|8.0|473|VI RENAL TUMORS|59151007|0-14|All Races|Male and Female|1999
1.8|2.6|2.2|129|VII HEPATIC TUMORS|59151007|0-14|All Races|Male and Female|1999
6.4|7.8|7.1|420|VIII MALIGNANT BONE TUMORS|59151007|0-14|All Races|Male and Female|1999
3.7|4.7|4.2|246|VIIIa Osteosarcomas|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|VIIIb Chondrosarcomas|59151007|0-14|All Races|Male and Female|1999
1.9|2.7|2.3|137|VIIIc Ewing tumor and related sarcomas of bone|59151007|0-14|All Races|Male and Female|1999
0.2|0.5|0.3|19|VIIId Other specified malignant bone tumors|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|VIIIe Unspecified malignant bone tumors|59151007|0-14|All Races|Male and Female|1999
1.5|2.2|1.8|108|VIIa Hepatoblastoma and mesenchymal tumors of liver|59151007|0-14|All Races|Male and Female|1999
0.2|0.5|0.4|21|VIIb Hepatic carcinomas|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|VIIc Unspecified malignant hepatic tumors|59151007|0-14|All Races|Male and Female|1999
6.9|8.3|7.6|447|VIa Nephroblastoma and other non-epithelial renal tumors|59151007|0-14|All Races|Male and Female|1999
0.2|0.6|0.4|23|VIb Renal carcinomas|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|VIc Unspecified malignant renal tumors|59151007|0-14|All Races|Male and Female|1999
4.4|5.6|5.0|291|X GERM CELL TUMORS, TROPHOBLASTIC TUMORS AND NEOPLASMS OF GONADS|59151007|0-14|All Races|Male and Female|1999
5.2|6.4|5.8|341|XI OTHER MALIGNANT EPITHELIAL NEOPLASMS AND MALIGNANT MELANOMAS|59151007|0-14|All Races|Male and Female|1999
0.4|0.8|0.5|32|XII OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS|59151007|0-14|All Races|Male and Female|1999
~|~|~|~|XIIa Other specified malignant tumors|59151007|0-14|All Races|Male and Female|1999
